"Iteracja","Best Result","Worst Result","Average Cost","Standard Deviation"
"480","329","701","510","0"
"481","329","701","510","0"
"482","329","701","510","0"
"483","329","701","510","0"
"484","329","701","510","0"
"485","329","701","510","0"
"486","329","701","509","0"
"487","329","701","509","0"
"488","329","701","509","0"
"489","329","701","510","0"
"490","329","701","510","0"
"491","329","701","510","0"
"492","329","701","510","0"
"493","329","701","510","0"
"494","329","701","510","0"
"495","329","701","510","0"
"496","329","701","510","0"
"497","329","701","510","0"
"498","329","701","510","0"
"499","329","701","511","0"
"500","329","701","511","0"
"501","329","701","511","0"
"502","329","701","510","0"
"503","329","701","511","0"
"504","329","701","511","0"
"505","329","701","511","0"
"506","329","701","511","0"
"507","329","701","511","0"
"508","329","701","510","0"
"509","329","701","510","0"
"510","329","701","511","0"
"511","329","701","511","0"
"512","329","701","511","0"
"513","329","701","511","0"
"514","329","701","511","0"
"515","329","701","511","0"
"516","329","701","511","0"
"517","329","701","511","0"
"518","329","701","511","0"
"519","329","701","511","0"
"520","329","701","511","0"
"521","329","701","511","0"
"522","329","701","511","0"
"523","329","701","511","0"
"524","329","701","511","0"
"525","329","701","511","0"
"526","329","701","510","0"
"527","329","701","511","0"
"528","329","701","511","0"
"529","329","701","511","0"
"530","329","701","511","0"
"531","329","701","511","0"
"532","329","701","511","0"
"533","329","701","511","0"
"534","329","701","511","0"
"535","329","701","511","0"
"536","329","701","511","0"
"537","329","701","511","0"
"538","329","701","511","0"
"539","329","701","511","0"
"540","329","701","511","0"
"541","329","701","511","0"
"542","329","701","511","0"
"543","329","701","511","0"
"544","329","701","511","0"
"545","329","701","511","0"
"546","329","701","511","0"
"547","329","701","511","0"
"548","329","701","511","0"
"549","329","701","511","0"
"550","329","701","511","0"
"551","329","701","511","0"
"552","329","701","511","0"
"553","329","701","511","0"
"554","329","701","511","0"
"555","329","701","511","0"
"556","329","701","511","0"
"557","329","701","511","0"
"558","329","701","511","0"
"559","329","701","511","0"
"560","329","701","511","0"
"561","329","701","511","0"
"562","329","701","511","0"
"563","329","701","511","0"
"564","329","701","511","0"
"565","329","701","511","0"
"566","329","701","511","0"
"567","329","701","511","0"
"568","329","701","511","0"
"569","329","701","511","0"
"570","329","701","511","0"
"571","329","701","511","0"
"572","329","701","511","0"
"573","329","701","511","0"
"574","329","701","511","0"
"575","329","701","511","0"
"576","329","701","511","0"
"577","329","701","511","0"
"578","329","701","511","0"
"579","329","701","511","0"
"580","329","701","511","0"
"581","329","701","512","0"
"582","329","701","512","0"
"583","329","701","512","0"
"584","329","701","512","0"
"585","329","701","512","0"
"586","329","701","512","0"
"587","329","701","512","0"
"588","329","701","512","0"
"589","329","701","512","0"
"590","329","701","512","0"
"591","329","701","511","0"
"592","329","701","511","0"
"593","329","701","511","0"
"594","329","701","511","0"
"595","329","701","511","0"
"596","329","701","511","0"
"597","329","701","512","0"
"598","329","701","512","0"
"599","329","701","512","0"
"600","329","701","512","0"
"601","329","701","512","0"
"602","329","701","512","0"
"603","329","701","512","0"
"604","329","701","512","0"
"605","329","701","512","0"
"606","329","701","512","0"
"607","329","701","512","0"
"608","329","701","512","0"
"609","329","701","512","0"
"610","329","701","512","0"
"611","329","701","512","0"
"612","329","701","512","0"
"613","329","701","512","0"
"614","329","701","512","0"
"615","329","701","512","0"
"616","329","701","512","0"
"617","329","701","512","0"
"618","329","701","512","0"
"619","329","701","512","0"
"620","329","701","512","0"
"621","329","701","512","0"
"622","329","701","512","0"
"623","329","701","512","0"
"624","329","701","512","0"
"625","329","701","512","0"
"626","329","701","512","0"
"627","329","701","512","0"
"628","329","701","512","0"
"629","329","701","512","0"
"630","329","701","512","0"
"631","329","701","512","0"
"632","329","701","512","0"
"633","329","701","512","0"
"634","329","701","512","0"
"635","329","701","512","0"
"636","329","701","511","0"
"637","329","701","511","0"
"638","329","701","511","0"
"639","329","701","511","0"
"640","329","701","511","0"
"641","329","701","511","0"
"642","329","701","511","0"
"643","329","701","511","0"
"644","329","701","511","0"
"645","329","701","511","0"
"646","329","701","511","0"
"647","329","701","511","0"
"648","329","701","511","0"
"649","329","701","511","0"
"650","329","701","511","0"
"651","329","701","511","0"
"652","329","701","511","0"
"653","329","701","511","0"
"654","329","701","511","0"
"655","329","701","511","0"
"656","329","701","511","0"
"657","329","701","511","0"
"658","329","701","511","0"
"659","329","701","511","0"
"660","329","701","511","0"
"661","329","701","511","0"
"662","329","701","511","0"
"663","329","701","511","0"
"664","329","701","511","0"
"665","329","701","511","0"
"666","329","701","511","0"
"667","329","701","511","0"
"668","329","701","511","0"
"669","329","701","511","0"
"670","329","701","511","0"
"671","329","701","511","0"
"672","329","701","511","0"
"673","329","701","511","0"
"674","329","701","511","0"
"675","329","701","511","0"
"676","329","701","511","0"
"677","329","701","511","0"
"678","329","701","511","0"
"679","329","701","511","0"
"680","329","701","510","0"
"681","329","701","511","0"
"682","329","701","511","0"
"683","329","701","511","0"
"684","329","701","511","0"
"685","329","701","511","0"
"686","329","701","511","0"
"687","329","701","511","0"
"688","329","701","510","0"
"689","329","701","510","0"
"690","329","701","510","0"
"691","329","701","510","0"
"692","329","701","510","0"
"693","329","701","510","0"
"694","329","701","511","0"
"695","329","701","511","0"
"696","329","701","511","0"
"697","329","701","511","0"
"698","329","701","511","0"
"699","329","701","511","0"
"700","329","701","511","0"
"701","329","701","511","0"
"702","329","701","511","0"
"703","329","701","511","0"
"704","329","701","511","0"
"705","329","701","511","0"
"706","329","701","511","0"
"707","329","701","511","0"
"708","329","701","511","0"
"709","329","701","511","0"
"710","329","701","511","0"
"711","329","701","511","0"
"712","329","701","511","0"
"713","329","701","511","0"
"714","329","701","511","0"
"715","329","701","511","0"
"716","329","701","511","0"
"717","329","701","511","0"
"718","329","701","511","0"
"719","329","701","511","0"
"720","329","701","511","0"
"721","329","701","511","0"
"722","329","701","510","0"
"723","329","701","510","0"
"724","329","701","510","0"
"725","329","701","511","0"
"726","329","701","511","0"
"727","329","701","511","0"
"728","329","701","511","0"
"729","329","701","511","0"
"730","329","701","510","0"
"731","329","701","511","0"
"732","329","701","510","0"
"733","329","701","510","0"
"734","329","701","510","0"
"735","329","701","510","0"
"736","329","701","510","0"
"737","329","701","510","0"
"738","329","701","510","0"
"739","329","701","510","0"
"740","329","701","510","0"
"741","329","701","510","0"
"742","329","701","510","0"
"743","329","701","510","0"
"744","329","701","510","0"
"745","329","701","510","0"
"746","329","701","510","0"
"747","329","701","510","0"
"748","329","701","510","0"
"749","329","701","510","0"
"750","329","701","511","0"
"751","329","701","511","0"
"752","329","701","511","0"
"753","329","701","511","0"
"754","329","701","511","0"
"755","329","701","511","0"
"756","329","701","511","0"
"757","329","701","511","0"
"758","329","701","511","0"
"759","329","701","511","0"
"760","329","701","511","0"
"761","329","701","511","0"
"762","329","701","511","0"
"763","329","701","511","0"
"764","329","701","511","0"
"765","329","701","511","0"
"766","329","701","511","0"
"767","329","701","511","0"
"768","329","701","511","0"
"769","329","701","511","0"
"770","329","701","511","0"
"771","329","701","511","0"
"772","329","701","511","0"
"773","329","701","511","0"
"774","329","701","511","0"
"775","329","701","511","0"
"776","329","701","511","0"
"777","329","701","511","0"
"778","329","701","511","0"
"779","329","701","511","0"
"780","329","701","511","0"
"781","329","701","511","0"
"782","329","701","511","0"
"783","329","701","511","0"
"784","329","701","511","0"
"785","329","701","511","0"
"786","329","701","511","0"
"787","329","701","511","0"
"788","329","701","511","0"
"789","329","701","511","0"
"790","329","701","511","0"
"791","329","701","511","0"
"792","329","701","511","0"
"793","329","701","511","0"
"794","329","701","511","0"
"795","329","701","511","0"
"796","329","701","511","0"
"797","329","701","511","0"
"798","329","701","511","0"
"799","329","701","511","0"
"800","329","701","511","0"
"801","329","701","511","0"
"802","329","701","511","0"
"803","329","701","511","0"
"804","329","701","511","0"
"805","329","701","511","0"
"806","329","701","511","0"
"807","329","701","511","0"
"808","329","701","511","0"
"809","329","701","511","0"
"810","329","701","511","0"
"811","329","701","511","0"
"812","329","701","511","0"
"813","329","701","511","0"
"814","329","701","511","0"
"815","329","701","511","0"
"816","329","701","511","0"
"817","329","701","511","0"
"818","329","701","511","0"
"819","329","701","511","0"
"820","329","701","511","0"
"821","329","701","511","0"
"822","329","701","511","0"
"823","329","701","511","0"
"824","329","701","511","0"
"825","329","701","511","0"
"826","329","701","511","0"
"827","329","701","511","0"
"828","329","701","511","0"
"829","329","701","511","0"
"830","329","701","511","0"
"831","329","701","511","0"
"832","329","701","511","0"
"833","329","701","511","0"
"834","329","701","511","0"
"835","329","701","511","0"
"836","329","701","511","0"
"837","329","701","511","0"
"838","329","701","511","0"
"839","329","701","511","0"
"840","329","701","511","0"
"841","329","701","511","0"
"842","329","701","511","0"
"843","329","701","511","0"
"844","329","701","511","0"
"845","329","701","511","0"
"846","329","701","511","0"
"847","329","701","511","0"
"848","329","701","511","0"
"849","329","701","511","0"
"850","329","701","511","0"
"851","329","701","511","0"
"852","329","701","511","0"
"853","329","701","511","0"
"854","329","701","511","0"
"855","329","701","511","0"
"856","329","701","511","0"
"857","329","701","511","0"
"858","329","701","511","0"
"859","329","701","511","0"
"860","329","701","511","0"
"861","329","701","511","0"
"862","329","701","511","0"
"863","329","701","511","0"
"864","329","701","511","0"
"865","329","701","512","0"
"866","329","701","511","0"
"867","329","701","512","0"
"868","329","701","512","0"
"869","329","701","512","0"
"870","329","701","512","0"
"871","329","701","512","0"
"872","329","701","512","0"
"873","329","701","512","0"
"874","329","701","512","0"
"875","329","701","512","0"
"876","329","701","512","0"
